CPT,Description,Provider,ProviderName,Radius,LocationID,LocationName,
99211,EST OFFICE VISIT  MINIMAL,TOW.KE,Towne Keith A,1,WS.CL,AVERA MEDICAL GROUP WORTHINGTO,
85610-QW,PROTHROMBIN TIME,TOW.KE,Towne Keith A,1,WS.CL,AVERA MEDICAL GROUP WORTHINGTO,
36416,FINGER STICK,TOW.KE,Towne Keith A,1,WS.CL,AVERA MEDICAL GROUP WORTHINGTO,
99214,EST OFFICE VISIT DETAILED,TOL.AD,Tolentino Addison R,1,MO.CL,AVERA MEDICAL ONC & HEMATOLOGY,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,TOL.AD,Tolentino Addison R,1,MO.CL,AVERA MEDICAL ONC & HEMATOLOGY,
99211,EST OFFICE VISIT  MINIMAL,TOB.MI,Tobin Michael D,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
36416,FINGER STICK,TOB.MI,Tobin Michael D,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
85610-QW,PROTHROMBIN TIME,TOB.MI,Tobin Michael D,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
93010,EKG INTERP AND REPORT ONLY,TOB.MI,Tobin Michael D,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
99212,LEVEL 2 ESTABLISHED PATIENT,THO.HE,Thoreson Heidi M,1,PM.CL,PIPESTONE MEDICAL GROUP,
87880-QW,LAB  STREPTOCOCCUS GROUP A,THO.HE,Thoreson Heidi M,2,PM.CL,PIPESTONE MEDICAL GROUP,
17000,DESTROY PREMALIGNANT LESION  1,THO.HE,Thoreson Heidi M,1,PM.CL,PIPESTONE MEDICAL GROUP,
96372,THERAPEUTIC  PROPHYLACTIC  OR DIAGNOSTIC,THO.HE,Thoreson Heidi M,3,PM.CL,PIPESTONE MEDICAL GROUP,
90471,STATE ADMINISTER VACCINE,THO.HE,Thoreson Heidi M,1,PM.CL,PIPESTONE MEDICAL GROUP,
87880-QW,INFECTIOUS AGENT ANTIGEN DETECTION BY IM,THO.HE,Thoreson Heidi M,2,PM.CL,PIPESTONE MEDICAL GROUP,
99212,EST OFFICE VISIT PROBLEM FOCUSED,THO.HE,Thoreson Heidi M,1,PM.CL,PIPESTONE MEDICAL GROUP,
90472,STATE ADMINISTR VACCINE EA ADD,THO.HE,Thoreson Heidi M,1,PM.CL,PIPESTONE MEDICAL GROUP,
99212,LEVEL 2 EST PT,THO.HE,Thoreson Heidi M,10,PM.CL,PIPESTONE MEDICAL GROUP,
99395,EST ROUTINE EXAM 18-39 YEARS,THO.HE,Thoreson Heidi M,1,PM.CL,PIPESTONE MEDICAL GROUP,
J1050,INJECTION  MEDROXYPROGESTERONE ACETATE 1,THO.HE,Thoreson Heidi M,3,PM.CL,PIPESTONE MEDICAL GROUP,
81025,URINE PREGNANCY TEST  BY VISUAL COLOR CO,THO.HE,Thoreson Heidi M,1,PM.CL,PIPESTONE MEDICAL GROUP,
12001,SIMP REPAIR <2.5CM SCALP NECK TRUNK EXT,THO.HE,Thoreson Heidi M,1,PM.CL,PIPESTONE MEDICAL GROUP,
90696-SL,STATE VACCINE KINRIX,THO.HE,Thoreson Heidi M,1,PM.CL,PIPESTONE MEDICAL GROUP,
90710-SL,STATE VACCINE MMRV,THO.HE,Thoreson Heidi M,1,PM.CL,PIPESTONE MEDICAL GROUP,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,THO.HE,Thoreson Heidi M,16,PM.CL,PIPESTONE MEDICAL GROUP,
99213,LEVEL 3 ESTABLISHED PATIENT,THO.HE,Thoreson Heidi M,9,PM.CL,PIPESTONE MEDICAL GROUP,
L4350,ANKLE CONTORL ORTHOTIC,THO.HE,Thoreson Heidi M,1,PM.CL,PIPESTONE MEDICAL GROUP,
J3490,UNCLASSIFIED DRUGS,STO.JO,Stone Jonathan D MD,1,RA.CL,AVERA MEDICAL GROUP PHYSICAL,
62370,ELECTRONIC ANALYSIS OF PROGRAMMABLE  IMP,STO.JO,Stone Jonathan D MD,1,RA.CL,AVERA MEDICAL GROUP PHYSICAL,
17000,DESTROY PREMALIGNANT LESION  1,STA.DO,Stangl Douglas V,2,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
92567,TYMPANOMETRY,STA.DO,Stangl Douglas V,1,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,STA.DO,Stangl Douglas V,5,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
99024,POSTOPERATIVE FOLLOW-UP VISIT,STA.DO,Stangl Douglas V,1,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
99396,EST ROUTINE EXAM 40-64 YEARS,STA.DO,Stangl Douglas V,1,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
99214,EST OFFICE VISIT DETAILED,STA.DO,Stangl Douglas V,1,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
17003,DESTROY PREMALIGNANT LESION  2ND-14TH,STA.DO,Stangl Douglas V,2,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
84439,THYROXINEFREE,SPE.SH,Spencer Sharon L CNP,1,OF.CL,AVERA MEDICAL GROUP ONEILL,
84443,THYROID STIMULATING HORMONE  (TSH),SPE.SH,Spencer Sharon L CNP,1,OF.CL,AVERA MEDICAL GROUP ONEILL,
36415,VENIPUNCTURE,SPE.SH,Spencer Sharon L CNP,1,OF.CL,AVERA MEDICAL GROUP ONEILL,
84481,TRIIODOTHYROINE T3 FREE,SPE.SH,Spencer Sharon L CNP,1,OF.CL,AVERA MEDICAL GROUP ONEILL,
86580,SKIN TEST TUBERCULOSIS  INTRADERMAL,SMI.SA,Smith Sandra B,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90715,Tdap VACCINE,SMI.SA,Smith Sandra B,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90716,VARICELLA VIRUS VACCINE  LIVE  FOR SUBCU,SMI.SA,Smith Sandra B,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90471,IMMUNIZATION ADMINISTRATION ONE VACCINE,SMI.SA,Smith Sandra B,2,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
99212,EST OFFICE VISIT PROBLEM FOCUSED,SMI.KA,Smidt Katherine E,2,WS.CL,AVERA MEDICAL GROUP WORTHINGTO,
99397,EST ROUTINE EXAM 65 AND OLDER,SMI.KA,Smidt Katherine E,1,WS.CL,AVERA MEDICAL GROUP WORTHINGTO,
J1050,INJECTION  MEDROXYPROGESTERONE ACETATE 1,SMI.KA,Smidt Katherine E,2,WS.CL,AVERA MEDICAL GROUP WORTHINGTO,
95117,ALLERGY INJECTIONS 2 OR MORE,SIM.SH G,Simon Sharon E CNP,3,CG.CL,AVERA MEDICAL GROUP GROTON,
95115,ALLERGY INJECTION SINGLE,SIM.SH G,Simon Sharon E CNP,1,CG.CL,AVERA MEDICAL GROUP GROTON,
90833,PSYCHOTHERAPY  30 MINUTES WITH PATIENT A,SCH.SC,Schneider Scott A,1,MP.CL,AVERA MED GRP MIDWEST PSYCHIAT,
99214,EST OFFICE VISIT DETAILED,SCH.SC,Schneider Scott A,4,MP.CL,AVERA MED GRP MIDWEST PSYCHIAT,
99215,EST OFFICE VISIT COMPREHENSIVE,SCH.SC,Schneider Scott A,3,MP.CL,AVERA MED GRP MIDWEST PSYCHIAT,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,SCH.SC,Schneider Scott A,2,MP.CL,AVERA MED GRP MIDWEST PSYCHIAT,
99392,PERIODIC COMPREHENSIVE PREVENTIVE MEDICI,SCH.SA04,Schimelpfenig Samuel S MD,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90472,IMMUNIZATION ADMINISTRATION EACH ADDITI,SCH.SA04,Schimelpfenig Samuel S MD,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90648-SL,HIB VACCINE 4 DOSE,SCH.SA04,Schimelpfenig Samuel S MD,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
99214,EST OFFICE VISIT DETAILED,SCH.SA04,Schimelpfenig Samuel S MD,2,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,SCH.SA04,Schimelpfenig Samuel S MD,5,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90700-SL,DTaP VACCINE,SCH.SA04,Schimelpfenig Samuel S MD,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90649-SL,HPV VACCINE,SCH.SA04,Schimelpfenig Samuel S MD,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90471,IMMUNIZATION ADMINISTRATION (INCLUDES PE,SCH.SA04,Schimelpfenig Samuel S MD,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90471,IMMUNIZATION ADMINISTRATION ONE VACCINE,SCH.SA04,Schimelpfenig Samuel S MD,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90633,HEPATITIS A VACCINE  PEDIATRIC/ADOLESCEN,SCH.SA04,Schimelpfenig Samuel S MD,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
77470-26,SPECIAL TREATMENT PROCEDURE  (EG  TOTAL,SCH.KA01,Schneekloth Kathleen L,1,MK.OP,AVERA MCKENNAN HOSPITAL-OP,
77263,THERAPEUTIC RADIOLOGY TREATMENT PLANNING,SCH.KA01,Schneekloth Kathleen L,1,RO.CLA,AVERA MED GRP RADIATION ONC,
83615,LACTATE DEHYDROGENASE,SCH.BE,Schroeder Beth A,1,SB.LA,AVERA ST BENEDICT LABORATORY,
85610,PROTHROMBIN TIME,SCH.BE,Schroeder Beth A,3,LA.CL,AVERA ST BENEDICT CRHC LAKE AN,
84550,URIC ACID BLOOD,SCH.BE,Schroeder Beth A,1,SB.LA,AVERA ST BENEDICT LABORATORY,
80061,LIPID PANEL,SCH.BE,Schroeder Beth A,2,SB.LA,AVERA ST BENEDICT LABORATORY,
17110,DESTROY BENIGN LESION UP TO 14,SCH.BE,Schroeder Beth A,1,LA.CL,AVERA ST BENEDICT CRHC LAKE AN,
80076,HEPATIC FUNCTION PANEL,SCH.BE,Schroeder Beth A,1,SB.LA,AVERA ST BENEDICT LABORATORY,
82150,AMYLASE,SCH.BE,Schroeder Beth A,1,SB.LA,AVERA ST BENEDICT LABORATORY,
82565,CREATININE BLOOD,SCH.BE,Schroeder Beth A,2,SB.LA,AVERA ST BENEDICT LABORATORY,
86140,C-REACTIVE PROTEIN,SCH.BE,Schroeder Beth A,1,SB.LA,AVERA ST BENEDICT LABORATORY,
73110-TC,RADIOLOGIC EXAMINATION  WRIST COMPLETE,SCH.BE,Schroeder Beth A,1,LA.CL,AVERA ST BENEDICT CRHC LAKE AN,
81001,URINALYSIS  BY DIP STICK OR TABLET REAGE,SCH.BE,Schroeder Beth A,1,LA.CL,AVERA ST BENEDICT CRHC LAKE AN,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,SCH.BE,Schroeder Beth A,10,LA.CL,AVERA ST BENEDICT CRHC LAKE AN,
71020-TC,RADIOLOGIC EXAMINATION  CHEST  2 VIEWS ,SCH.BE,Schroeder Beth A,1,LA.CL,AVERA ST BENEDICT CRHC LAKE AN,
80053,COMPREHENSIVE METABOLIC PANEL,SCH.BE,Schroeder Beth A,1,SB.LA,AVERA ST BENEDICT LABORATORY,
80048,BASIC METABOLIC PANEL,SCH.BE,Schroeder Beth A,1,SB.LA,AVERA ST BENEDICT LABORATORY,
L3908,WRIST-HAND ORTHOTIC (WHO)  WRIST EXTENSI,SCH.BE,Schroeder Beth A,1,LA.CL,AVERA ST BENEDICT CRHC LAKE AN,
36415,VENIPUNCTURE,SCH.BE,Schroeder Beth A,6,LA.CL,AVERA ST BENEDICT CRHC LAKE AN,
A4565,SLINGS,SCH.BE,Schroeder Beth A,1,LA.CL,AVERA ST BENEDICT CRHC LAKE AN,
99212,EST OFFICE VISIT PROBLEM FOCUSED,SCH.BE,Schroeder Beth A,10,LA.CL,AVERA ST BENEDICT CRHC LAKE AN,
99203,NEW OFFICE VISIT DETAILED,SCH.BE,Schroeder Beth A,1,LA.CL,AVERA ST BENEDICT CRHC LAKE AN,
85025,BLOOD COUNT COMPLETE (CBC)   AUTOMATED,SCH.BE,Schroeder Beth A,1,LA.CL,AVERA ST BENEDICT CRHC LAKE AN,
85025,BLOOD COUNT COMPLETE (CBC)   AUTOMATED,SCH.BE,Schroeder Beth A,2,SB.LA,AVERA ST BENEDICT LABORATORY,
83036,HEMOGLOBIN GLYCOSYLATED,SCH.BE,Schroeder Beth A,1,SB.LA,AVERA ST BENEDICT LABORATORY,
84443,THYROID STIMULATING HORMONE  (TSH),RUN.KA,Runge Karen J,1,HI.CL,AVERA MEDICAL GROUP MILLER,
84439,THYROXINEFREE,RUN.KA,Runge Karen J,1,HI.CL,AVERA MEDICAL GROUP MILLER,
90715,Tdap VACCINE,RIC.CH,Richardson Chelsea M,1,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
99203,NEW OFFICE VISIT DETAILED,RIC.CH,Richardson Chelsea M,2,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,RIC.CH,Richardson Chelsea M,8,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
99395,EST ROUTINE EXAM 18-39 YEARS,RIC.CH,Richardson Chelsea M,1,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
99211,EST OFFICE VISIT  MINIMAL,RIC.CH,Richardson Chelsea M,1,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
90471,IMMUNIZATION ADMINISTRATION ONE VACCINE,RIC.CH,Richardson Chelsea M,1,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
85610,PROTHROMBIN TIME,REN.SC,Rens Scott,1,HQ.CL,HULL MEDICAL CLINIC,
85610-QW,PROTIME WAIVED,REN.SC,Rens Scott,4,HQ.CL,HULL MEDICAL CLINIC,
99211,LEVEL 1 EST PT,REN.SC,Rens Scott,3,HQ.CL,HULL MEDICAL CLINIC,
99211,EST OFFICE VISIT  MINIMAL,REN.PR,Renshaw Preston C MD,1,OF.CL,AVERA MEDICAL GROUP ONEILL,
90680-SL,ROTAVIRUS VACCINE  PENTAVALENT  3 DOSE S,REI.AL01,Reindl Alisa L,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
99211,EST OFFICE VISIT  MINIMAL,REI.AL01,Reindl Alisa L,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
99391,EST ROUTINE EXAM LESS THAN 1 YEAR,REI.AL01,Reindl Alisa L,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90473,IMMUNIZATION ADMINISTRATION BY INTRANASA,REI.AL01,Reindl Alisa L,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90472,IMMUNIZATION ADMINISTRATION EACH ADDITI,REI.AL01,Reindl Alisa L,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90648-SL,HIB VACCINE 4 DOSE,REI.AL01,Reindl Alisa L,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
86580,SKIN TEST TUBERCULOSIS  INTRADERMAL,REI.AL01,Reindl Alisa L,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
85610-QW,PROTHROMBIN TIME,REI.AL01,Reindl Alisa L,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90670-SL,PNEUMOCOCCAL CONJUGATE VACCINE  13 VALEN,REI.AL01,Reindl Alisa L,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
36416,FINGER STICK,REI.AL01,Reindl Alisa L,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,REI.AL01,Reindl Alisa L,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90723-SL,PEDIARIX VACCINE,REI.AL01,Reindl Alisa L,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
36415,VENIPUNCTURE,PUR.SC,Purintun Scott MD,1,MB.CL,MARSHALL COUNTY MEDICAL CLINIC,
96372,THERAPEUTIC  PROPHYLACTIC  OR DIAGNOSTIC,PRO.KE,Probst Keith L,1,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,PRO.KE,Probst Keith L,2,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
J1050,INJECTION  MEDROXYPROGESTERONE ACETATE 1,PRO.KE,Probst Keith L,1,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
99024,POSTOPERATIVE FOLLOW-UP VISIT,PRO.KE,Probst Keith L,1,EV.CL,AVERA MEDICAL GROUP ESTHERVILL,
99393,EST ROUTINE EXAM 5-11 YEARS,PET.PA,Peters Patricia A,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
99214,EST OFFICE VISIT DETAILED,PET.PA,Peters Patricia A,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,PET.PA,Peters Patricia A,2,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
99396,EST ROUTINE EXAM 40-64 YEARS,PET.PA,Peters Patricia A,2,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
95115,ALLERGY INJECTION SINGLE,PER.RA,Peralta Raphael MD,1,WS.CL,AVERA MEDICAL GROUP WORTHINGTO,
96372,THERAPEUTIC  PROPHYLACTIC  OR DIAGNOSTIC,PED.KI,Pederson Kim A,1,MGCLWE,AVERA MEDICAL GROUP MCGREEVY W,
36415,VENIPUNCTURE,PED.KI,Pederson Kim A,1,MGCLWE,AVERA MEDICAL GROUP MCGREEVY W,
80061,LIPID PANEL,PED.KI,Pederson Kim A,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
80053,COMPREHENSIVE METABOLIC PANEL,PED.KI,Pederson Kim A,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
90471,IMMUNIZATION ADMINISTRATION ONE VACCINE,PED.KI,Pederson Kim A,1,MGCLWE,AVERA MEDICAL GROUP MCGREEVY W,
90746,HEPATITIS B VACCINE  ADULT DOSAGE  FOR I,PED.KI,Pederson Kim A,1,MGCLWE,AVERA MEDICAL GROUP MCGREEVY W,
87804-QW,LAB  INFLUENZA,PAL.CY,Pallesen Cynthia CNP,2,UC.CL,AVERA ST LUKES FASTCARE SHOPKO,
90471,IMMUNIZATION ADMINISTRATION ONE VACCINE,PAL.CY,Pallesen Cynthia CNP,2,UC.CL,AVERA ST LUKES FASTCARE SHOPKO,
90715,Tdap VACCINE,PAL.CY,Pallesen Cynthia CNP,2,UC.CL,AVERA ST LUKES FASTCARE SHOPKO,
99213,OFFICE OR OTHER OUTPATIENT VISIT ESTABLI,PAL.CY,Pallesen Cynthia CNP,1,UC.CL,AVERA ST LUKES FASTCARE SHOPKO,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,PAL.CY,Pallesen Cynthia CNP,23,UC.CL,AVERA ST LUKES FASTCARE SHOPKO,
81003-QW,URINALYSIS  BY DIP STICK OR TABLET REAGE,PAL.CY,Pallesen Cynthia CNP,1,UC.CL,AVERA ST LUKES FASTCARE SHOPKO,
87880-QW,LAB  STREPTOCOCCUS GROUP A,PAL.CY,Pallesen Cynthia CNP,4,UC.CL,AVERA ST LUKES FASTCARE SHOPKO,
82274-QW,BLOOD  OCCULT  BY FECAL HEMOGLOBIN DETER,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
90471,IMMUNIZATION ADMINISTRATION ONE VACCINE,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
99024,POSTOPERATIVE FOLLOW-UP VISIT,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
85007,BLOOD COUNT BLOOD SMEAR  MICROSCOPIC EX,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
85610-QW,PROTHROMBIN TIME,OLS.MA01,Olson Mary L,4,UM.CL,AVERA UNITED MEDICAL CLINIC,
99315,NURSING FACILITY DISCHARGE DAY MANAGEMEN,OLS.MA01,Olson Mary L,1,SN.ISN,WINDOM AREA HOSP SANFORD SNF,
82306,VITAMIN D 25 HYDROXY  INCLUDES FRACTION,OLS.MA01,Olson Mary L,1,MK.RL,MCKENNAN REGIONAL LAB,
84443,THYROID STIMULATING HORMONE (TSH),OLS.MA01,Olson Mary L,1,MK.RL,MCKENNAN REGIONAL LAB,
87210,SMEAR PRIMARY SOURCE WITH INTERPRETATION,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
80069,RENAL FUNCTION PANEL,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
81003,URINALYSIS  BY DIP STICK OR TABLET REAGE,OLS.MA01,Olson Mary L,3,UM.CL,AVERA UNITED MEDICAL CLINIC,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,OLS.MA01,Olson Mary L,6,UM.CL,AVERA UNITED MEDICAL CLINIC,
82570-QW,CREATININE OTHER SOURCE,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
90472,IMMUNIZATION ADMINISTRATION EACH ADDITI,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
90670,PNEUMOCOCCAL CONJUGATE VACCINE  13 VALEN,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
90700,DTaP VACCINE,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
82120,AMINES  VAGINAL FLUID  QUALITATIVE,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
99392,PERIODIC COMPREHENSIVE PREVENTIVE MEDICI,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
82044-QW,ALBUMIN URINE  MICROALBUMIN  SEMIQUANTI,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
83986,pH  BODY FLUID  EXCEPT BLOOD,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
99391,EST ROUTINE EXAM LESS THAN 1 YEAR,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
99212,EST OFFICE VISIT PROBLEM FOCUSED,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
36415,VENIPUNCTURE,OLS.MA01,Olson Mary L,7,UM.CL,AVERA UNITED MEDICAL CLINIC,
J1885,INJECTION  KETOROLAC TROMETHAMINE  PER 1,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
96372,THERAPEUTIC  PROPHYLACTIC  OR DIAGNOSTIC,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
G0307,COMPLETE (CBC)  AUTOMATED (HGB  HCT  RBC,OLS.MA01,Olson Mary L,1,UM.CL,AVERA UNITED MEDICAL CLINIC,
36415,VENIPUNCTURE,NIE.CA,Nielsen Carol F,1,MGCLLW,AVERA MCGREEVY CLI LARCHWOOD,
85025,BLOOD COUNT COMPLETE (CBC)   AUTOMATED,NIE.CA,Nielsen Carol F,1,MGCLLW,AVERA MCGREEVY CLI LARCHWOOD,
85610-QW,PROTHROMBIN TIME,NIE.CA,Nielsen Carol F,2,MGCLLW,AVERA MCGREEVY CLI LARCHWOOD,
36416,FINGERSTICK,NIE.CA,Nielsen Carol F,2,MGCLLW,AVERA MCGREEVY CLI LARCHWOOD,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,NIE.CA,Nielsen Carol F,1,MGCLLW,AVERA MCGREEVY CLI LARCHWOOD,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,NAN.ST,Nanton Stephen E,1,AC.CL,AMG PEDIATRIC SPECIALISTS,
95117,ALLERGY INJECTIONS 2 OR MORE,MOS.RU,Mosqueda-Lim Ruth,1,DM.CL,AVERA MEDICAL GROUP DESMET,
99211,EST OFFICE VISIT  MINIMAL,MOR.CO,Morrison Connie L MD,2,WS.CL,AVERA MEDICAL GROUP WORTHINGTO,
